Symbol,Direction,Entry Time,Exit Time,Entry Price,Exit Price,Exit Reason,Net PnL,Fee,Equity After
SOL_USDT,short,2025-03-04 15:00:00,2025-03-04 17:30:00,136.64,140.7700768504547,stop_loss,-72.09769498031322,1.886388522583092,3456.103193835183
ETH_USDT,short,2025-03-04 15:00:00,2025-03-04 18:30:00,2078.75,2153.4744165256047,stop_loss,-71.83226791468209,1.591316380613628,3384.2709259205008
SOL_USDT,long,2025-03-04 22:30:00,2025-03-05 14:00:00,145.0,143.06327138384762,stop_loss,-14.36367747294143,0.8065771598747734,3369.907248447559
ETH_USDT,short,2025-03-09 19:30:00,2025-03-10 09:00:00,2032.53,2089.358434623586,stop_loss,-60.81627759733305,1.714705588803412,3309.0909708502263
SOL_USDT,short,2025-03-09 18:30:00,2025-03-10 09:00:00,127.88,131.44261670298894,stop_loss,-51.328840495382,1.4522066535367384,3257.7621303548444
ETH_USDT,short,2025-03-10 14:30:00,2025-03-11 09:30:00,2021.2,1927.31511653162,stop_loss,49.84495780775434,0.85287926517083,3307.6070881625988
ETH_USDT,short,2025-03-11 10:00:00,2025-03-11 10:30:00,1916.8,1927.31511653162,stop_loss,-76.53504237177827,9.764052395990317,3231.0720457908205
ETH_USDT,short,2025-03-11 11:00:00,2025-03-11 12:00:00,1921.4,1892.4244173418995,take_profit,230.58044428577642,12.814450042268785,3461.652490076597
ETH_USDT,short,2025-03-11 12:30:00,2025-03-11 13:00:00,1901.83,1927.31511653162,stop_loss,-73.48562685279329,4.166109886786403,3388.166863223804
ETH_USDT,short,2025-03-11 13:30:00,2025-03-11 14:00:00,1921.2,1891.2244173418992,take_profit,250.64989957115563,13.434983646712855,3638.8167627949597
ETH_USDT,short,2025-03-11 14:30:00,2025-03-11 16:00:00,1872.45,1927.31511653162,stop_loss,-74.42822980326719,2.0062759815286957,3564.3885329916925
ETH_USDT,short,2025-03-11 16:30:00,2025-03-11 17:00:00,1922.81,1900.8844173418986,take_profit,188.8679312921841,14.162964121834396,3753.2564642838765
ETH_USDT,short,2025-03-11 17:30:00,2025-03-11 18:00:00,1891.95,1927.31511653162,stop_loss,-78.21278386585334,3.2387368188188144,3675.043680418023
SOL_USDT,long,2025-03-14 17:30:00,2025-03-16 07:00:00,133.13,133.8558231080191,stop_loss,9.285431681638592,1.6019149386481146,3684.329112099662
SOL_USDT,long,2025-03-16 07:30:00,2025-03-16 09:30:00,134.57,133.8558231080191,stop_loss,-85.44091100730553,11.166514241293598,3598.888201092356
SOL_USDT,short,2025-03-16 14:30:00,2025-03-17 03:30:00,128.38,129.19122087531957,stop_loss,-18.2849872733941,2.0605697670025567,3580.603213818962
SOL_USDT,short,2025-03-17 04:00:00,2025-03-17 04:30:00,128.93,129.19122087531957,stop_loss,-50.29677218641774,14.248291392317642,3530.306441632544
ETH_USDT,long,2025-03-19 13:30:00,2025-03-20 08:00:00,2011.62,2003.6689763103773,stop_loss,-18.731992989087665,3.147986557427336,3511.5744486434564
ETH_USDT,long,2025-03-20 08:30:00,2025-03-20 09:30:00,2012.25,2003.6689763103773,stop_loss,-90.36216065490278,14.248480527949217,3421.2122879885537
SOL_USDT,long,2025-03-19 04:30:00,2025-03-20 13:00:00,125.9,129.8771710645994,stop_loss,116.24580588520648,3.069326052775193,3537.4580938737604
SOL_USDT,short,2025-03-20 20:30:00,2025-03-21 18:30:00,128.23,128.68403842942166,stop_loss,-14.47690516462946,2.6719059996659853,3522.981188709131
SOL_USDT,long,2025-03-23 13:30:00,2025-03-23 17:30:00,133.49,131.24765042309804,stop_loss,-70.44733911213635,3.176851805077177,3452.5338495969945
SOL_USDT,long,2025-03-23 18:00:00,2025-03-23 18:30:00,131.28,130.91,stop_loss,-62.2087560000006,13.738756,3390.325093596994
ETH_USDT,long,2025-03-24 13:30:00,2025-03-25 01:30:00,2077.64,2057.158950707023,stop_loss,-73.48809665922215,5.491013006538927,3316.836996937772
ETH_USDT,long,2025-03-25 02:00:00,2025-03-25 03:00:00,2064.9,2057.158950707023,stop_loss,-75.40067917227704,13.24005334967096,3241.4363177654946
SOL_USDT,long,2025-03-25 18:30:00,2025-03-26 03:30:00,145.13,141.58397660290862,stop_loss,-65.89276177918569,2.064340631540942,3175.543555986309
SOL_USDT,long,2025-03-26 04:00:00,2025-03-26 13:30:00,141.89,142.3006365724291,stop_loss,32.96259527581719,12.618064263815851,3208.506151262126
SOL_USDT,short,2025-03-26 18:30:00,2025-03-27 02:30:00,138.47,140.00123347882612,stop_loss,-29.56719549991778,2.004992881047548,3178.938955762208
